Order_ID,Customer_ID,Restaurant_ID,Order_DateTime,Order_Date,Order_Month,Order_Hour,Day_Type,Cuisine,Meal_Type,Restaurant_Type,City,Payment_Mode,Order_Status,Base_Amount,Discount,Delivery_Fee,Tip_Amount,Total_Amount,Estimated_Delivery_Time,Actual_Delivery_Time,Delivery_Delay,Distance_km,Vehicle_Type,Customer_Rating,Delivery_Partner_Rating,Mood,Hunger_Level,Company,Rainy_Weather,Time_Taken_to_Order_min,Is_Repeat_Customer,Age,Gender,Age_Bucket,Is_Premium
ORD_000017,CUST_00941,REST_0085,2026-03-28 19:29:49,2026-03-28,2026-03,19,Weekend,Mexican,Late Night,Fine Dining,Kolkata,UPI,Delivered,618.51,30.93,58.82,20,666.4,26,30.0,4.0,6.9,Scooter,1.6,4.8,Neutral,Low,Colleagues,False,7,True,33,Female,25-34,False
ORD_000018,CUST_00713,REST_0132,2025-07-24 22:51:38,2025-07-24,2025-07,22,Weekday,Chinese,Dinner,Casual Dining,Kolkata,UPI,Refunded,2129.55,106.48,58.38,20,2101.45,31,,,12.0,Car,,,Happy,Medium,Family,False,10,True,58,Male,55+,True
ORD_000019,CUST_00991,REST_0028,2025-02-23 20:41:30,2025-02-23,2025-02,20,Weekend,Thai,Breakfast,Casual Dining,Kolkata,UPI,Delivered,1259.83,62.99,30.25,10,1237.09,50,59.0,9.0,6.1,Scooter,3.0,4.8,Tired,Medium,Partner,False,18,True,28,Female,25-34,False
ORD_000020,CUST_00162,REST_0104,2025-05-08 12:18:05,2025-05-08,2025-05,12,Weekday,Chinese,Lunch,Quick Service,Delhi,Wallet,Delivered,242.08,12.1,40.44,0,270.42,43,43.0,0.0,4.1,Scooter,4.4,4.5,Happy,High,Family,False,15,True,39,Male,35-44,False
ORD_000021,CUST_00835,REST_0094,2025-04-04 13:58:14,2025-04-04,2025-04,13,Weekday,Italian,Snacks,Casual Dining,Mumbai,Wallet,Delivered,1346.02,269.2,46.05,10,1132.87,56,59.0,3.0,3.4,Bike,3.5,4.3,Neutral,Low,Partner,False,14,True,54,Female,45-54,False
ORD_000022,CUST_01077,REST_0019,2026-05-30 12:23:15,2026-05-30,2026-05,12,Weekend,Continental,Snacks,Quick Service,Mumbai,Debit Card,Delivered,882.99,44.15,27.23,10,876.07,59,53.0,-6.0,5.4,Bike,1.9,,Celebratory,High,Friends,False,5,True,52,Female,45-54,False
ORD_000023,CUST_00341,REST_0046,2025-12-10 16:50:09,2025-12-10,2025-12,16,Weekday,Japanese,Late Night,Quick Service,Hyderabad,Wallet,Delivered,714.22,35.71,28.46,10,716.97,52,45.0,-7.0,2.7,Bike,2.5,2.8,Happy,Medium,Partner,False,6,True,34,Male,25-34,False
ORD_000024,CUST_00606,REST_0095,2026-04-26 15:28:39,2026-04-26,2026-04,15,Weekend,Chinese,Late Night,Cloud Kitchen,Pune,Debit Card,Delivered,2412.53,0.0,23.98,0,2436.51,26,20.0,-6.0,9.9,Scooter,,4.2,Neutral,High,Partner,False,6,True,18,Male,18-24,True
ORD_000025,CUST_01013,REST_0035,2026-06-25 11:27:07,2026-06-25,2026-06,11,Weekday,Italian,Snacks,Fine Dining,Mumbai,Wallet,Delivered,1240.61,124.06,46.75,0,1163.3,35,34.0,-1.0,10.5,Bike,1.9,,Happy,High,Partner,False,15,True,33,Female,25-34,False
ORD_000026,CUST_00810,REST_0061,2026-04-14 13:04:07,2026-04-14,2026-04,13,Weekday,South Indian,Snacks,Fine Dining,Chennai,Credit Card,Cancelled,988.03,98.8,19.28,10,918.51,46,,,4.7,Bike,,,Happy,High,Family,False,19,True,60,Male,55+,False
ORD_000027,CUST_01144,REST_0131,2025-01-17 15:40:32,2025-01-17,2025-01,15,Weekday,South Indian,Lunch,Casual Dining,Ahmedabad,Credit Card,Refunded,923.94,0.0,57.98,0,981.92,43,,,11.0,Bike,,,Neutral,Medium,Partner,False,6,True,47,Male,45-54,False
ORD_000028,CUST_00821,REST_0123,2025-10-26 07:27:00,2025-10-26,2025-10,7,Weekend,Chinese,Dinner,Cafe,Pune,Cash on Delivery,Delivered,2181.66,109.08,27.29,20,2119.87,47,46.0,-1.0,4.5,Bike,4.5,,Neutral,Medium,Friends,False,4,True,42,Male,35-44,False
ORD_000029,CUST_00534,REST_0006,2026-06-21 08:23:04,2026-06-21,2026-06,8,Weekend,Indian,Late Night,Cloud Kitchen,Hyderabad,Credit Card,Delivered,1205.04,180.76,30.39,20,1074.67,39,43.0,4.0,4.2,Scooter,3.8,,Happy,High,Friends,False,14,True,58,Male,55+,False
ORD_000030,CUST_00578,REST_0100,2026-01-18 10:16:47,2026-01-18,2026-01,10,Weekend,Mexican,Dinner,Quick Service,Kolkata,UPI,Delivered,786.6,39.33,31.41,0,778.68,23,26.0,3.0,2.6,Car,2.7,2.9,Stressed,Very High,Alone,False,5,True,57,Male,55+,False
ORD_000031,CUST_00677,REST_0139,2025-12-07 15:08:02,2025-12-07,2025-12,15,Weekend,South Indian,Dinner,Quick Service,Ahmedabad,UPI,Delivered,2285.77,114.29,30.73,30,2232.21,43,52.0,9.0,11.3,Bike,3.5,3.4,Happy,Medium,Friends,True,16,True,34,Female,25-34,False
ORD_000032,CUST_00738,REST_0094,2026-05-06 14:40:11,2026-05-06,2026-05,14,Weekday,Italian,Dinner,Casual Dining,Mumbai,UPI,Delivered,252.93,25.29,45.6,0,273.24,46,40.0,-6.0,11.0,Bike,3.4,4.0,Happy,High,Friends,False,3,True,34,Male,25-34,False
ORD_000033,CUST_00594,REST_0011,2025-10-28 20:12:02,2025-10-28,2025-10,20,Weekday,Japanese,Dinner,Quick Service,Mumbai,Credit Card,Delivered,1298.06,129.81,44.75,0,1213.0,30,23.0,-7.0,8.7,Bike,3.1,4.9,Neutral,High,Family,False,14,True,19,Female,18-24,False
ORD_000034,CUST_01030,REST_0003,2026-04-30 21:16:02,2026-04-30,2026-04,21,Weekday,Italian,Breakfast,Casual Dining,Kolkata,Cash on Delivery,Delivered,2379.7,475.94,44.77,50,1998.53,40,41.0,1.0,4.0,Bike,2.9,3.3,Neutral,High,Colleagues,False,12,True,40,Male,35-44,False
ORD_000035,CUST_00688,REST_0075,2025-10-07 12:07:51,2025-10-07,2025-10,12,Weekday,Indian,Snacks,Casual Dining,Ahmedabad,Debit Card,Delivered,1713.83,257.07,23.49,30,1510.25,28,33.0,5.0,2.2,Bike,1.5,4.0,Neutral,Very High,Colleagues,False,14,True,51,Male,45-54,False
ORD_000036,CUST_00450,REST_0090,2025-12-14 07:11:31,2025-12-14,2025-12,7,Weekend,Thai,Lunch,Cloud Kitchen,Ahmedabad,Cash on Delivery,Delivered,470.45,23.52,34.86,0,481.79,33,36.0,3.0,8.5,Car,4.1,4.1,Happy,Very High,Family,False,4,True,56,Female,55+,False
ORD_000037,CUST_00988,REST_0113,2026-03-11 12:05:27,2026-03-11,2026-03,12,Weekday,South Indian,Snacks,Quick Service,Chennai,Cash on Delivery,Delivered,708.57,0.0,49.47,50,808.04,48,57.0,9.0,4.0,Bike,3.3,,Celebratory,Medium,Colleagues,False,12,True,40,Male,35-44,False
ORD_000038,CUST_01179,REST_0073,2025-10-30 11:19:28,2025-10-30,2025-10,11,Weekday,Italian,Lunch,Cafe,Kolkata,UPI,Delivered,2383.08,238.31,56.82,20,2221.59,49,46.0,-3.0,9.9,Car,3.5,3.9,Celebratory,Medium,Friends,True,3,True,44,Male,35-44,True
ORD_000039,CUST_00280,REST_0138,2025-12-28 07:39:27,2025-12-28,2025-12,7,Weekend,Chinese,Late Night,Cloud Kitchen,Pune,UPI,Delivered,629.04,0.0,54.0,0,683.04,56,68.0,12.0,1.6,Scooter,3.1,4.4,Neutral,Medium,Alone,False,4,True,64,Male,55+,False
ORD_000040,CUST_00516,REST_0012,2026-02-20 08:23:32,2026-02-20,2026-02,8,Weekday,Thai,Lunch,Fine Dining,Mumbai,Cash on Delivery,Delivered,1245.12,311.28,51.4,0,985.24,25,17.0,-8.0,10.4,Bicycle,,3.9,Stressed,Medium,Friends,False,16,True,61,Male,55+,False
ORD_000041,CUST_00948,REST_0007,2025-02-05 18:08:04,2025-02-05,2025-02,18,Weekday,South Indian,Lunch,Casual Dining,Delhi,Wallet,Delivered,1693.34,254.0,32.18,0,1471.52,25,37.0,12.0,10.6,Bike,2.4,2.6,Neutral,Medium,Family,False,20,True,35,Female,35-44,False
ORD_000042,CUST_00963,REST_0122,2025-02-03 19:38:09,2025-02-03,2025-02,19,Weekday,Continental,Breakfast,Cafe,Bangalore,Debit Card,Delivered,1025.43,153.81,52.04,10,933.66,37,40.0,3.0,11.4,Bike,2.1,4.3,Celebratory,Medium,Alone,True,20,True,53,Male,45-54,False
ORD_000043,CUST_00599,REST_0056,2025-05-21 08:33:23,2025-05-21,2025-05,8,Weekday,Chinese,Dinner,Cloud Kitchen,Pune,UPI,Delivered,2256.4,225.64,52.28,10,2093.04,33,35.0,2.0,4.8,Car,3.0,3.8,Neutral,High,Alone,False,5,True,52,Female,45-54,False
ORD_000044,CUST_00105,REST_0137,2025-01-27 06:47:11,2025-01-27,2025-01,6,Weekday,Indian,Late Night,Quick Service,Delhi,UPI,Delivered,1594.88,79.74,16.77,30,1561.91,40,48.0,8.0,3.4,Scooter,1.3,2.9,Tired,Very High,Colleagues,False,10,True,49,Male,45-54,False
ORD_000045,CUST_00261,REST_0014,2025-09-24 21:45:28,2025-09-24,2025-09,21,Weekday,Indian,Lunch,Casual Dining,Mumbai,Credit Card,Delivered,2306.78,346.02,26.7,50,2037.46,54,65.0,11.0,3.1,Bike,3.9,4.7,Neutral,Low,Colleagues,False,17,True,37,Female,35-44,False
ORD_000046,CUST_00280,REST_0144,2025-07-24 13:07:08,2025-07-24,2025-07,13,Weekday,Japanese,Dinner,Cloud Kitchen,Ahmedabad,UPI,Cancelled,1897.17,94.86,46.13,50,1898.44,43,,,6.8,Bike,,,Neutral,Medium,Friends,False,16,True,64,Male,55+,False
ORD_000047,CUST_00221,REST_0005,2025-06-26 18:57:45,2025-06-26,2025-06,18,Weekday,Chinese,Dinner,Cloud Kitchen,Mumbai,UPI,Delivered,1082.56,216.51,35.87,10,911.92,46,40.0,-6.0,7.0,Bike,4.4,3.7,Happy,High,Partner,True,12,True,51,Female,45-54,False
ORD_000048,CUST_00831,REST_0115,2025-12-22 07:45:04,2025-12-22,2025-12,7,Weekday,Thai,Late Night,Casual Dining,Kolkata,Credit Card,Delivered,161.98,8.1,35.87,50,239.75,57,58.0,1.0,5.0,Scooter,1.2,2.8,Stressed,Low,Colleagues,True,7,True,21,Male,18-24,False
ORD_000049,CUST_00016,REST_0002,2026-01-06 15:32:14,2026-01-06,2026-01,15,Weekday,Chinese,Lunch,Cloud Kitchen,Ahmedabad,UPI,Refunded,1939.25,96.96,59.75,0,1902.04,42,,,7.6,Car,,,Happy,High,Colleagues,False,8,True,56,Female,55+,False
ORD_000050,CUST_00036,REST_0120,2025-05-23 21:15:50,2025-05-23,2025-05,21,Weekday,South Indian,Breakfast,Casual Dining,Bangalore,UPI,Refunded,1032.55,51.63,19.07,10,1009.99,34,,,3.8,Car,,,Tired,Medium,Alone,False,2,True,48,Female,45-54,False
ORD_000051,CUST_00836,REST_0035,2026-01-05 19:35:36,2026-01-05,2026-01,19,Weekday,Italian,Snacks,Fine Dining,Mumbai,Cash on Delivery,Refunded,2003.58,0.0,32.66,50,2086.24,37,,,10.6,Car,,,Happy,Very High,Friends,False,16,True,46,Male,45-54,False
ORD_000052,CUST_01074,REST_0052,2025-05-13 16:39:56,2025-05-13,2025-05,16,Weekday,Thai,Lunch,Cloud Kitchen,Bangalore,UPI,Delivered,2486.81,124.34,39.07,0,2401.54,34,28.0,-6.0,6.3,Car,2.7,4.4,Happy,Medium,Alone,False,17,True,56,Other,55+,False
ORD_000053,CUST_01069,REST_0116,2026-06-23 08:26:49,2026-06-23,2026-06,8,Weekday,Chinese,Lunch,Casual Dining,Delhi,Debit Card,Cancelled,1114.06,55.7,44.49,20,1122.85,47,,,2.7,Car,,,Neutral,Very High,Alone,True,20,True,50,Male,45-54,False
ORD_000054,CUST_00634,REST_0141,2025-03-17 14:08:20,2025-03-17,2025-03,14,Weekday,Continental,Breakfast,Quick Service,Mumbai,Wallet,Delivered,181.32,18.13,41.89,10,215.08,30,36.0,6.0,7.2,Bike,4.1,4.8,Neutral,Low,Colleagues,False,6,True,58,Female,55+,False
ORD_000055,CUST_00887,REST_0094,2025-07-06 23:49:08,2025-07-06,2025-07,23,Weekend,Italian,Snacks,Casual Dining,Mumbai,UPI,Delivered,794.58,0.0,33.2,0,827.78,55,63.0,8.0,5.3,Bicycle,3.2,,Happy,Medium,Friends,False,5,True,37,Female,35-44,True
ORD_000056,CUST_01068,REST_0035,2026-06-15 18:09:19,2026-06-15,2026-06,18,Weekday,Italian,Lunch,Fine Dining,Mumbai,UPI,Refunded,2375.0,237.5,24.76,10,2172.26,31,,,7.4,Bike,,,Neutral,High,Family,False,7,True,48,Male,45-54,False
ORD_000057,CUST_00942,REST_0057,2025-11-27 08:59:45,2025-11-27,2025-11,8,Weekday,Italian,Snacks,Quick Service,Bangalore,UPI,Refunded,610.9,0.0,37.04,30,677.94,25,,,2.6,Bike,,,Neutral,Medium,Family,False,13,True,19,Male,18-24,False
ORD_000058,CUST_00817,REST_0143,2026-06-16 14:57:18,2026-06-16,2026-06,14,Weekday,Continental,Lunch,Quick Service,Ahmedabad,UPI,Delivered,1170.66,58.53,50.41,50,1212.54,20,20.0,0.0,3.0,Bike,2.7,3.8,Stressed,Medium,Friends,False,10,True,55,Female,55+,False
ORD_000059,CUST_00340,REST_0117,2025-05-09 19:40:19,2025-05-09,2025-05,19,Weekday,South Indian,Dinner,Quick Service,Hyderabad,UPI,Delivered,989.56,98.96,29.2,0,919.8,47,55.0,8.0,12.0,Bike,1.2,4.0,Neutral,High,Alone,False,20,True,43,Male,35-44,True
ORD_000060,CUST_01021,REST_0136,2025-06-07 13:10:42,2025-06-07,2025-06,13,Weekend,Italian,Dinner,Cloud Kitchen,Kolkata,Cash on Delivery,Cancelled,755.89,151.18,53.84,0,658.55,35,,,11.5,Bike,,,Neutral,Medium,Family,False,20,True,25,Male,25-34,False
ORD_000061,CUST_00511,REST_0095,2025-02-12 20:52:55,2025-02-12,2025-02,20,Weekday,Chinese,Breakfast,Cloud Kitchen,Pune,UPI,Delivered,1238.9,123.89,51.54,20,1186.55,26,20.0,-6.0,8.0,Scooter,,3.2,Neutral,Medium,Colleagues,False,20,True,54,Male,45-54,False
ORD_000062,CUST_00411,REST_0051,2025-09-29 19:41:13,2025-09-29,2025-09,19,Weekday,Indian,Lunch,Cloud Kitchen,Delhi,Debit Card,Cancelled,2243.07,224.31,49.79,0,2068.55,44,,,5.5,Bike,,,Happy,Medium,Partner,False,2,True,62,Other,55+,False
ORD_000063,CUST_01101,REST_0109,2026-05-25 14:56:40,2026-05-25,2026-05,14,Weekday,Continental,Snacks,Fine Dining,Kolkata,UPI,Delivered,1052.15,52.61,25.39,10,1034.93,32,44.0,12.0,10.0,Bicycle,2.9,3.1,Happy,Medium,Friends,False,14,True,58,Male,55+,False
ORD_000064,CUST_00963,REST_0097,2025-11-01 20:29:04,2025-11-01,2025-11,20,Weekend,Chinese,Dinner,Casual Dining,Ahmedabad,Wallet,Delivered,2364.16,236.42,37.52,0,2165.26,22,19.0,-3.0,4.1,Bike,4.8,4.2,Stressed,High,Colleagues,False,8,True,53,Male,45-54,False
ORD_000065,CUST_00223,REST_0063,2025-12-15 09:38:09,2025-12-15,2025-12,9,Weekday,Continental,Lunch,Quick Service,Kolkata,Credit Card,Delivered,1365.95,204.89,47.06,0,1208.12,43,57.0,14.0,10.2,Bike,4.7,3.5,Tired,High,Family,False,13,True,42,Female,35-44,False
ORD_000066,CUST_00178,REST_0033,2026-02-13 15:08:48,2026-02-13,2026-02,15,Weekday,Italian,Snacks,Quick Service,Kolkata,Credit Card,Cancelled,1494.97,0.0,59.73,0,1554.7,32,,,10.8,Scooter,,,Neutral,Low,Friends,False,18,True,27,Female,25-34,False
ORD_000067,CUST_00982,REST_0093,2025-04-19 19:20:15,2025-04-19,2025-04,19,Weekend,Continental,Breakfast,Fine Dining,Ahmedabad,UPI,Delivered,1479.96,74.0,30.33,0,1436.29,29,24.0,-5.0,7.9,Bike,2.8,5.0,Neutral,High,Colleagues,True,5,True,59,Female,55+,False
ORD_000068,CUST_00167,REST_0099,2025-02-21 14:18:24,2025-02-21,2025-02,14,Weekday,Mexican,Dinner,Cafe,Hyderabad,Cash on Delivery,Cancelled,1362.84,136.28,48.82,0,1275.38,36,,,3.4,Car,,,Neutral,Medium,Alone,False,9,True,47,Female,45-54,False
ORD_000069,CUST_00169,REST_0067,2025-06-13 12:52:20,2025-06-13,2025-06,12,Weekday,Mexican,Late Night,Quick Service,Bangalore,UPI,Delivered,1803.96,270.59,19.52,0,1552.89,42,40.0,-2.0,8.1,Car,3.4,4.1,Neutral,Low,Alone,False,18,True,45,Female,45-54,True
ORD_000070,CUST_00745,REST_0134,2026-04-24 19:31:56,2026-04-24,2026-04,19,Weekday,Chinese,Snacks,Cloud Kitchen,Mumbai,UPI,Delivered,2248.73,337.31,51.9,20,1983.32,25,32.0,7.0,2.6,Bike,,3.7,Stressed,Medium,Alone,False,18,True,49,Female,45-54,False
ORD_000071,CUST_00616,REST_0040,2026-04-14 08:15:13,2026-04-14,2026-04,8,Weekday,South Indian,Lunch,Quick Service,Hyderabad,Debit Card,Delivered,267.01,0.0,55.56,0,322.57,60,53.0,-7.0,11.8,Scooter,,3.3,Neutral,Low,Alone,False,17,True,41,Female,35-44,False
ORD_000072,CUST_00108,REST_0090,2025-10-20 06:34:00,2025-10-20,2025-10,6,Weekday,Thai,Dinner,Cloud Kitchen,Ahmedabad,Debit Card,Delivered,2297.65,229.76,49.4,10,2127.29,21,26.0,5.0,2.1,Bicycle,,3.1,Neutral,Medium,Partner,False,13,True,28,Male,25-34,False
ORD_000073,CUST_01188,REST_0018,2026-02-17 08:23:02,2026-02-17,2026-02,8,Weekday,South Indian,Lunch,Casual Dining,Kolkata,Debit Card,Cancelled,221.08,0.0,17.54,0,238.62,43,,,4.8,Car,,,Happy,High,Family,False,3,True,27,Female,25-34,False
ORD_000074,CUST_00997,REST_0077,2025-07-19 07:23:35,2025-07-19,2025-07,7,Weekend,Italian,Dinner,Fine Dining,Mumbai,Wallet,Delivered,322.4,32.24,50.54,0,340.7,44,38.0,-6.0,4.1,Bike,3.3,3.5,Tired,Medium,Partner,False,19,True,62,Male,55+,False
ORD_000075,CUST_01046,REST_0023,2025-10-14 05:52:39,2025-10-14,2025-10,5,Weekday,Continental,Snacks,Casual Dining,Kolkata,UPI,Delivered,2040.76,102.04,54.91,0,1993.63,43,39.0,-4.0,10.0,Bike,4.0,3.9,Happy,High,Alone,False,12,True,48,Male,45-54,True
ORD_000076,CUST_00677,REST_0095,2026-01-10 12:48:09,2026-01-10,2026-01,12,Weekend,Chinese,Dinner,Cloud Kitchen,Pune,UPI,Delivered,947.41,0.0,27.62,0,975.03,32,43.0,11.0,11.0,Car,1.8,3.0,Happy,Medium,Partner,True,3,True,34,Female,25-34,False
ORD_000077,CUST_00612,REST_0081,2025-02-09 14:08:45,2025-02-09,2025-02,14,Weekend,Japanese,Dinner,Casual Dining,Bangalore,UPI,Delivered,627.41,0.0,40.04,10,677.45,48,55.0,7.0,7.0,Bike,4.3,,Stressed,Medium,Alone,False,18,True,18,Female,18-24,False
ORD_000078,CUST_00495,REST_0028,2025-05-24 11:20:59,2025-05-24,2025-05,11,Weekend,Thai,Late Night,Casual Dining,Kolkata,Wallet,Delivered,980.41,0.0,17.37,10,1007.78,49,46.0,-3.0,9.9,Bike,1.5,2.8,Neutral,Low,Friends,False,11,True,51,Female,45-54,True
ORD_000079,CUST_00555,REST_0125,2025-12-11 10:32:53,2025-12-11,2025-12,10,Weekday,Chinese,Dinner,Quick Service,Chennai,Cash on Delivery,Cancelled,1972.68,0.0,36.31,30,2038.99,37,,,7.6,Bike,,,Neutral,Very High,Friends,False,20,True,24,Female,18-24,False
ORD_000080,CUST_00094,REST_0027,2025-11-03 12:30:52,2025-11-03,2025-11,12,Weekday,Japanese,Dinner,Casual Dining,Ahmedabad,Debit Card,Delivered,1202.35,60.12,37.45,0,1179.68,40,43.0,3.0,3.5,Scooter,2.8,,Neutral,Very High,Friends,False,15,True,28,Male,25-34,False
ORD_000081,CUST_00753,REST_0070,2025-11-12 18:50:57,2025-11-12,2025-11,18,Weekday,Thai,Snacks,Fine Dining,Chennai,Credit Card,Delivered,326.37,16.32,32.66,0,342.71,39,50.0,11.0,7.9,Bike,1.4,3.1,Stressed,Medium,Family,False,20,True,63,Male,55+,False
ORD_000082,CUST_00767,REST_0096,2025-08-22 08:46:03,2025-08-22,2025-08,8,Weekday,South Indian,Lunch,Casual Dining,Delhi,UPI,Delivered,248.12,0.0,30.82,10,288.94,30,27.0,-3.0,5.1,Car,2.3,4.0,Stressed,High,Friends,False,14,True,44,Female,35-44,False
ORD_000083,CUST_00913,REST_0028,2025-06-01 21:52:43,2025-06-01,2025-06,21,Weekend,Thai,Breakfast,Casual Dining,Kolkata,UPI,Cancelled,327.89,49.18,46.28,30,354.99,46,,,5.1,Scooter,,,Celebratory,Medium,Family,False,3,True,50,Female,45-54,False
ORD_000084,CUST_00746,REST_0005,2025-04-23 11:12:01,2025-04-23,2025-04,11,Weekday,Chinese,Snacks,Cloud Kitchen,Mumbai,Cash on Delivery,Refunded,886.17,177.23,16.66,10,735.6,46,,,7.7,Car,,,Neutral,High,Friends,False,12,True,60,Female,55+,False
ORD_000085,CUST_00687,REST_0134,2026-03-05 13:09:26,2026-03-05,2026-03,13,Weekday,Chinese,Lunch,Cloud Kitchen,Mumbai,Credit Card,Delivered,563.16,0.0,52.62,50,665.78,22,27.0,5.0,5.4,Bike,4.8,2.6,Celebratory,Medium,Alone,True,17,True,40,Male,35-44,False
ORD_000086,CUST_01142,REST_0106,2025-03-05 12:45:08,2025-03-05,2025-03,12,Weekday,Italian,Dinner,Cloud Kitchen,Bangalore,Credit Card,Delivered,1818.73,363.75,31.92,30,1516.9,30,39.0,9.0,8.7,Car,4.8,3.5,Stressed,High,Alone,False,18,True,52,Male,45-54,False
